# reactions: 2
Time	S	I	R	N	Fired Reaction
0.0	46.0	181.0	83.0	310.0	 0
0.000968901023413	45.0	182.0	83.0	310.0	 1
0.00123779890248	45.0	181.0	84.0	310.0	 2
0.00135564472268	44.0	182.0	84.0	310.0	 1
0.00177494784522	44.0	181.0	85.0	310.0	 2
0.00771403703766	44.0	180.0	86.0	310.0	 2
0.0117162851526	43.0	181.0	86.0	310.0	 1
0.0133475836779	43.0	180.0	87.0	310.0	 2
0.0151406153494	42.0	181.0	87.0	310.0	 1
0.0172730641377	42.0	180.0	88.0	310.0	 2
0.0182639532704	42.0	179.0	89.0	310.0	 2
0.0252784045754	42.0	178.0	90.0	310.0	 2
0.0254936558268	42.0	177.0	91.0	310.0	 2
0.0284201025475	42.0	176.0	92.0	310.0	 2
0.0340241585647	41.0	177.0	92.0	310.0	 1
0.0341362079928	40.0	178.0	92.0	310.0	 1
0.0362312889934	39.0	179.0	92.0	310.0	 1
0.0404180467064	39.0	178.0	93.0	310.0	 2
0.0415045263706	38.0	179.0	93.0	310.0	 1
0.0430472489425	38.0	178.0	94.0	310.0	 2
0.0455730844951	38.0	177.0	95.0	310.0	 2
0.053554040394	38.0	176.0	96.0	310.0	 2
0.054714708057	37.0	177.0	96.0	310.0	 1
0.0570648707338	36.0	178.0	96.0	310.0	 1
0.0613825706163	35.0	179.0	96.0	310.0	 1
0.0628897612439	34.0	180.0	96.0	310.0	 1
0.0639370526956	34.0	179.0	97.0	310.0	 2
0.0659672432458	33.0	180.0	97.0	310.0	 1
0.0670248219576	33.0	179.0	98.0	310.0	 2
0.0673491892352	32.0	180.0	98.0	310.0	 1
0.0730203665131	32.0	179.0	99.0	310.0	 2
0.0733084870702	32.0	178.0	100.0	310.0	 2
0.0745735690648	31.0	179.0	100.0	310.0	 1
0.0756286512222	30.0	180.0	100.0	310.0	 1
0.0826493919992	30.0	179.0	101.0	310.0	 2
0.0910527491717	30.0	178.0	102.0	310.0	 2
0.0939203970877	30.0	177.0	103.0	310.0	 2
0.10120349759	29.0	178.0	103.0	310.0	 1
0.102014242851	29.0	177.0	104.0	310.0	 2
0.102107422323	28.0	178.0	104.0	310.0	 1
0.105062939268	27.0	179.0	104.0	310.0	 1
0.105874211653	26.0	180.0	104.0	310.0	 1
0.10680362113	26.0	179.0	105.0	310.0	 2
0.107616900793	25.0	180.0	105.0	310.0	 1
0.107786437235	25.0	179.0	106.0	310.0	 2
0.107954774355	25.0	178.0	107.0	310.0	 2
0.122840202064	25.0	177.0	108.0	310.0	 2
0.130107238494	25.0	176.0	109.0	310.0	 2
0.137545825582	24.0	177.0	109.0	310.0	 1
0.1391476059	24.0	176.0	110.0	310.0	 2
0.139242170926	23.0	177.0	110.0	310.0	 1
0.142724150914	23.0	176.0	111.0	310.0	 2
0.155279807953	22.0	177.0	111.0	310.0	 1
0.157285072253	21.0	178.0	111.0	310.0	 1
0.161157151261	21.0	177.0	112.0	310.0	 2
0.163796253959	21.0	176.0	113.0	310.0	 2
0.165640814246	21.0	175.0	114.0	310.0	 2
0.166859691544	21.0	174.0	115.0	310.0	 2
0.171148339182	21.0	173.0	116.0	310.0	 2
0.173422092997	20.0	174.0	116.0	310.0	 1
0.178579718041	19.0	175.0	116.0	310.0	 1
0.186069394332	18.0	176.0	116.0	310.0	 1
0.19011172681	18.0	175.0	117.0	310.0	 2
0.191028239777	17.0	176.0	117.0	310.0	 1
0.199448909068	17.0	175.0	118.0	310.0	 2
0.201641742895	16.0	176.0	118.0	310.0	 1
0.208140028554	16.0	175.0	119.0	310.0	 2
0.213375373505	16.0	174.0	120.0	310.0	 2
0.217253804114	16.0	173.0	121.0	310.0	 2
0.220772172872	16.0	172.0	122.0	310.0	 2
0.221935377897	15.0	173.0	122.0	310.0	 1
0.223538312536	15.0	172.0	123.0	310.0	 2
0.225512788382	15.0	171.0	124.0	310.0	 2
0.22620729108	15.0	170.0	125.0	310.0	 2
0.226934205866	15.0	169.0	126.0	310.0	 2
0.233594276917	15.0	168.0	127.0	310.0	 2
0.236691787872	14.0	169.0	127.0	310.0	 1
0.239785501331	14.0	168.0	128.0	310.0	 2
0.243170573729	14.0	167.0	129.0	310.0	 2
0.252026256157	14.0	166.0	130.0	310.0	 2
0.253234192605	14.0	165.0	131.0	310.0	 2
0.253797024117	14.0	164.0	132.0	310.0	 2
0.261425210684	14.0	163.0	133.0	310.0	 2
0.2743733707	14.0	162.0	134.0	310.0	 2
0.280136643164	14.0	161.0	135.0	310.0	 2
0.281603595689	13.0	162.0	135.0	310.0	 1
0.292370526115	12.0	163.0	135.0	310.0	 1
0.293814923148	12.0	162.0	136.0	310.0	 2
0.295789973539	12.0	161.0	137.0	310.0	 2
0.297977126607	11.0	162.0	137.0	310.0	 1
0.29816586392	11.0	161.0	138.0	310.0	 2
0.298908791893	11.0	160.0	139.0	310.0	 2
0.300531919555	11.0	159.0	140.0	310.0	 2
0.301310196649	11.0	158.0	141.0	310.0	 2
0.303706834437	11.0	157.0	142.0	310.0	 2
0.3100160619	11.0	156.0	143.0	310.0	 2
0.310565367703	11.0	155.0	144.0	310.0	 2
0.316437370282	10.0	156.0	144.0	310.0	 1
0.319569374063	10.0	155.0	145.0	310.0	 2
0.320587454993	9.0	156.0	145.0	310.0	 1
0.331547735124	8.0	157.0	145.0	310.0	 1
0.335842216706	8.0	156.0	146.0	310.0	 2
0.341548898578	8.0	155.0	147.0	310.0	 2
0.353223502601	8.0	154.0	148.0	310.0	 2
0.353603462812	8.0	153.0	149.0	310.0	 2
0.367262416311	8.0	152.0	150.0	310.0	 2
0.368768504289	8.0	151.0	151.0	310.0	 2
0.373104527708	8.0	150.0	152.0	310.0	 2
0.374034112215	8.0	149.0	153.0	310.0	 2
0.377673198241	8.0	148.0	154.0	310.0	 2
0.382199536395	8.0	147.0	155.0	310.0	 2
0.388049051307	8.0	146.0	156.0	310.0	 2
0.391274644789	8.0	145.0	157.0	310.0	 2
0.392712857181	8.0	144.0	158.0	310.0	 2
0.400936415079	8.0	143.0	159.0	310.0	 2
0.402878616757	7.0	144.0	159.0	310.0	 1
0.407591375966	7.0	143.0	160.0	310.0	 2
0.408859428503	7.0	142.0	161.0	310.0	 2
0.424214756835	6.0	143.0	161.0	310.0	 1
0.426228922276	6.0	142.0	162.0	310.0	 2
0.429931774788	6.0	141.0	163.0	310.0	 2
0.434353225574	5.0	142.0	163.0	310.0	 1
0.442732816084	4.0	143.0	163.0	310.0	 1
0.452318811437	4.0	142.0	164.0	310.0	 2
0.452687554966	3.0	143.0	164.0	310.0	 1
0.454545454545	3.0	143.0	164.0	310.0	 0
