# reactions: 2
Time	S	I	R	N	Fired Reaction
0.0	46.0	181.0	83.0	310.0	 0
0.00291361013586	45.0	182.0	83.0	310.0	 1
0.00672307139822	45.0	181.0	84.0	310.0	 2
0.0119830994847	45.0	180.0	85.0	310.0	 2
0.0159641563692	44.0	181.0	85.0	310.0	 1
0.0169430998776	44.0	180.0	86.0	310.0	 2
0.0230060549037	43.0	181.0	86.0	310.0	 1
0.0329606551597	43.0	180.0	87.0	310.0	 2
0.0345026261348	42.0	181.0	87.0	310.0	 1
0.0369047635497	42.0	180.0	88.0	310.0	 2
0.0476323593818	41.0	181.0	88.0	310.0	 1
0.0543302002274	40.0	182.0	88.0	310.0	 1
0.0590711014216	39.0	183.0	88.0	310.0	 1
0.0598737769778	39.0	182.0	89.0	310.0	 2
0.0702334142378	39.0	181.0	90.0	310.0	 2
0.0713172287215	39.0	180.0	91.0	310.0	 2
0.0727302227492	38.0	181.0	91.0	310.0	 1
0.0763473071286	38.0	180.0	92.0	310.0	 2
0.0787363401397	37.0	181.0	92.0	310.0	 1
0.0814366346701	37.0	180.0	93.0	310.0	 2
0.0873181228549	36.0	181.0	93.0	310.0	 1
0.0929182225093	36.0	180.0	94.0	310.0	 2
0.0969550719549	35.0	181.0	94.0	310.0	 1
0.0992745595824	35.0	180.0	95.0	310.0	 2
0.107305108805	34.0	181.0	95.0	310.0	 1
0.108123839741	34.0	180.0	96.0	310.0	 2
0.111591537145	33.0	181.0	96.0	310.0	 1
0.114306484927	32.0	182.0	96.0	310.0	 1
0.120601481612	32.0	181.0	97.0	310.0	 2
0.121998453016	32.0	180.0	98.0	310.0	 2
0.123297780878	31.0	181.0	98.0	310.0	 1
0.124740164079	31.0	180.0	99.0	310.0	 2
0.139951640775	31.0	179.0	100.0	310.0	 2
0.141774805544	31.0	178.0	101.0	310.0	 2
0.148215930309	30.0	179.0	101.0	310.0	 1
0.150297978062	30.0	178.0	102.0	310.0	 2
0.150419391846	30.0	177.0	103.0	310.0	 2
0.153437887207	30.0	176.0	104.0	310.0	 2
0.162721107856	29.0	177.0	104.0	310.0	 1
0.164034073668	28.0	178.0	104.0	310.0	 1
0.164500354882	27.0	179.0	104.0	310.0	 1
0.164940558244	27.0	178.0	105.0	310.0	 2
0.169658539539	27.0	177.0	106.0	310.0	 2
0.173291086164	27.0	176.0	107.0	310.0	 2
0.173699440421	26.0	177.0	107.0	310.0	 1
0.185226477005	26.0	176.0	108.0	310.0	 2
0.188095401331	26.0	175.0	109.0	310.0	 2
0.194344649495	26.0	174.0	110.0	310.0	 2
0.196037456981	25.0	175.0	110.0	310.0	 1
0.199551781224	24.0	176.0	110.0	310.0	 1
0.211755399509	23.0	177.0	110.0	310.0	 1
0.21869715558	23.0	176.0	111.0	310.0	 2
0.221991138207	22.0	177.0	111.0	310.0	 1
0.222614160112	22.0	176.0	112.0	310.0	 2
0.225187913232	22.0	175.0	113.0	310.0	 2
0.226993629529	22.0	174.0	114.0	310.0	 2
0.22830312694	22.0	173.0	115.0	310.0	 2
0.230192457111	22.0	172.0	116.0	310.0	 2
0.237022292168	21.0	173.0	116.0	310.0	 1
0.241316561639	21.0	172.0	117.0	310.0	 2
0.247166295199	20.0	173.0	117.0	310.0	 1
0.251898536439	19.0	174.0	117.0	310.0	 1
0.252565783318	18.0	175.0	117.0	310.0	 1
0.252623800802	17.0	176.0	117.0	310.0	 1
0.25381167897	17.0	175.0	118.0	310.0	 2
0.254946840202	17.0	174.0	119.0	310.0	 2
0.25514489484	16.0	175.0	119.0	310.0	 1
0.256415015607	16.0	174.0	120.0	310.0	 2
0.256667128077	16.0	173.0	121.0	310.0	 2
0.259915678622	15.0	174.0	121.0	310.0	 1
0.262883038554	15.0	173.0	122.0	310.0	 2
0.265820219055	15.0	172.0	123.0	310.0	 2
0.272376935629	15.0	171.0	124.0	310.0	 2
0.281582955736	14.0	172.0	124.0	310.0	 1
0.282953810638	13.0	173.0	124.0	310.0	 1
0.285430635666	13.0	172.0	125.0	310.0	 2
0.286233035951	13.0	171.0	126.0	310.0	 2
0.286269050067	13.0	170.0	127.0	310.0	 2
0.287410159961	12.0	171.0	127.0	310.0	 1
0.287818203731	12.0	170.0	128.0	310.0	 2
0.295525840556	12.0	169.0	129.0	310.0	 2
0.306663769133	12.0	168.0	130.0	310.0	 2
0.307715995382	12.0	167.0	131.0	310.0	 2
0.308862987656	12.0	166.0	132.0	310.0	 2
0.311150541263	12.0	165.0	133.0	310.0	 2
0.313171063687	12.0	164.0	134.0	310.0	 2
0.313472774042	12.0	163.0	135.0	310.0	 2
0.321783629776	12.0	162.0	136.0	310.0	 2
0.324698731223	12.0	161.0	137.0	310.0	 2
0.32613202588	11.0	162.0	137.0	310.0	 1
0.326751856526	10.0	163.0	137.0	310.0	 1
0.327413243484	10.0	162.0	138.0	310.0	 2
0.328241967751	10.0	161.0	139.0	310.0	 2
0.332992463319	10.0	160.0	140.0	310.0	 2
0.334677747004	10.0	159.0	141.0	310.0	 2
0.340963061375	10.0	158.0	142.0	310.0	 2
0.344543619775	10.0	157.0	143.0	310.0	 2
0.353818149609	9.0	158.0	143.0	310.0	 1
0.36114164013	9.0	157.0	144.0	310.0	 2
0.361878513067	9.0	156.0	145.0	310.0	 2
0.371223268242	9.0	155.0	146.0	310.0	 2
0.378567883889	8.0	156.0	146.0	310.0	 1
0.385508972545	8.0	155.0	147.0	310.0	 2
0.387733222937	8.0	154.0	148.0	310.0	 2
0.393778391476	8.0	153.0	149.0	310.0	 2
0.398626581376	8.0	152.0	150.0	310.0	 2
0.404341508746	8.0	151.0	151.0	310.0	 2
0.424006077839	8.0	150.0	152.0	310.0	 2
0.428763963534	8.0	149.0	153.0	310.0	 2
0.434333632836	8.0	148.0	154.0	310.0	 2
0.435179528563	8.0	147.0	155.0	310.0	 2
0.436440398253	8.0	146.0	156.0	310.0	 2
0.446625283816	8.0	145.0	157.0	310.0	 2
0.446843855447	8.0	144.0	158.0	310.0	 2
0.452439448658	7.0	145.0	158.0	310.0	 1
