# reactions: 2
Time	S	I	R	N	Fired Reaction
0.0	46.0	181.0	83.0	310.0	 0
0.000939833307579	45.0	182.0	83.0	310.0	 1
0.0031962151647	44.0	183.0	83.0	310.0	 1
0.00328525548247	44.0	182.0	84.0	310.0	 2
0.00378956619626	44.0	181.0	85.0	310.0	 2
0.0047181747646	43.0	182.0	85.0	310.0	 1
0.0134659493668	42.0	183.0	85.0	310.0	 1
0.0150070958313	42.0	182.0	86.0	310.0	 2
0.0225590878421	42.0	181.0	87.0	310.0	 2
0.0228026391379	41.0	182.0	87.0	310.0	 1
0.0230489309167	40.0	183.0	87.0	310.0	 1
0.0258250368796	39.0	184.0	87.0	310.0	 1
0.028738466311	38.0	185.0	87.0	310.0	 1
0.0287801127171	37.0	186.0	87.0	310.0	 1
0.0300717688234	36.0	187.0	87.0	310.0	 1
0.0300936721495	35.0	188.0	87.0	310.0	 1
0.0325337494675	35.0	187.0	88.0	310.0	 2
0.033249071074	34.0	188.0	88.0	310.0	 1
0.0348974304854	33.0	189.0	88.0	310.0	 1
0.0378889151592	33.0	188.0	89.0	310.0	 2
0.0424443268899	33.0	187.0	90.0	310.0	 2
0.0455842952975	33.0	186.0	91.0	310.0	 2
0.0475180741011	33.0	185.0	92.0	310.0	 2
0.0542146827711	33.0	184.0	93.0	310.0	 2
0.0555062744095	33.0	183.0	94.0	310.0	 2
0.0572184488542	33.0	182.0	95.0	310.0	 2
0.057945977091	32.0	183.0	95.0	310.0	 1
0.0637939933116	31.0	184.0	95.0	310.0	 1
0.0639940442999	31.0	183.0	96.0	310.0	 2
0.0668594377274	31.0	182.0	97.0	310.0	 2
0.0687383128566	31.0	181.0	98.0	310.0	 2
0.0809719872875	30.0	182.0	98.0	310.0	 1
0.0823889490374	29.0	183.0	98.0	310.0	 1
0.0863464679104	29.0	182.0	99.0	310.0	 2
0.0928300494127	29.0	181.0	100.0	310.0	 2
0.094465222099	29.0	180.0	101.0	310.0	 2
0.104624658478	28.0	181.0	101.0	310.0	 1
0.106324811624	28.0	180.0	102.0	310.0	 2
0.109418953902	27.0	181.0	102.0	310.0	 1
0.110041101995	26.0	182.0	102.0	310.0	 1
0.113890504269	26.0	181.0	103.0	310.0	 2
0.114058601636	26.0	180.0	104.0	310.0	 2
0.120974128487	26.0	179.0	105.0	310.0	 2
0.12353262408	25.0	180.0	105.0	310.0	 1
0.125738318197	25.0	179.0	106.0	310.0	 2
0.130356973369	25.0	178.0	107.0	310.0	 2
0.131036115025	25.0	177.0	108.0	310.0	 2
0.136276896772	25.0	176.0	109.0	310.0	 2
0.137096544637	25.0	175.0	110.0	310.0	 2
0.137651130484	24.0	176.0	110.0	310.0	 1
0.138111479646	24.0	175.0	111.0	310.0	 2
0.138186388555	24.0	174.0	112.0	310.0	 2
0.146599838682	24.0	173.0	113.0	310.0	 2
0.149596933965	23.0	174.0	113.0	310.0	 1
0.149831488123	23.0	173.0	114.0	310.0	 2
0.153036949972	22.0	174.0	114.0	310.0	 1
0.157625814761	22.0	173.0	115.0	310.0	 2
0.15936205043	22.0	172.0	116.0	310.0	 2
0.161069556368	21.0	173.0	116.0	310.0	 1
0.161976582565	21.0	172.0	117.0	310.0	 2
0.177134613504	20.0	173.0	117.0	310.0	 1
0.177785400026	20.0	172.0	118.0	310.0	 2
0.186435126422	20.0	171.0	119.0	310.0	 2
0.193776860319	19.0	172.0	119.0	310.0	 1
0.198296940351	18.0	173.0	119.0	310.0	 1
0.201318088013	17.0	174.0	119.0	310.0	 1
0.203190567552	17.0	173.0	120.0	310.0	 2
0.205916022612	17.0	172.0	121.0	310.0	 2
0.209186068172	17.0	171.0	122.0	310.0	 2
0.213996479909	17.0	170.0	123.0	310.0	 2
0.216258691594	16.0	171.0	123.0	310.0	 1
0.21928527053	15.0	172.0	123.0	310.0	 1
0.224010608079	15.0	171.0	124.0	310.0	 2
0.225223283927	15.0	170.0	125.0	310.0	 2
