# reactions: 2
Time	S	I	R	N	Fired Reaction
0.0	46.0	181.0	83.0	310.0	 0
7.8796400233e-05	46.0	180.0	84.0	310.0	 2
0.00497437355548	45.0	181.0	84.0	310.0	 1
0.0051841518993	44.0	182.0	84.0	310.0	 1
0.00558450612213	44.0	181.0	85.0	310.0	 2
0.00759106623294	44.0	180.0	86.0	310.0	 2
0.00994652164432	44.0	179.0	87.0	310.0	 2
0.0171322374713	43.0	180.0	87.0	310.0	 1
0.0180469031326	42.0	181.0	87.0	310.0	 1
0.0213013697114	41.0	182.0	87.0	310.0	 1
0.0243747059691	41.0	181.0	88.0	310.0	 2
0.0300949239525	40.0	182.0	88.0	310.0	 1
0.0340396870959	40.0	181.0	89.0	310.0	 2
0.0357634349019	39.0	182.0	89.0	310.0	 1
0.0378307142446	39.0	181.0	90.0	310.0	 2
0.0379545641587	39.0	180.0	91.0	310.0	 2
0.0444591594209	39.0	179.0	92.0	310.0	 2
0.0495522317173	38.0	180.0	92.0	310.0	 1
0.053335510123	37.0	181.0	92.0	310.0	 1
0.0577871982082	37.0	180.0	93.0	310.0	 2
0.0584886220114	37.0	179.0	94.0	310.0	 2
0.0600639561985	36.0	180.0	94.0	310.0	 1
0.0618698165146	35.0	181.0	94.0	310.0	 1
0.0621578698412	34.0	182.0	94.0	310.0	 1
0.0627502573192	34.0	181.0	95.0	310.0	 2
0.0634835981604	33.0	182.0	95.0	310.0	 1
0.0678399520092	33.0	181.0	96.0	310.0	 2
0.0718500130271	33.0	180.0	97.0	310.0	 2
0.0723671143344	32.0	181.0	97.0	310.0	 1
0.0916664568025	32.0	180.0	98.0	310.0	 2
0.0937601084538	31.0	181.0	98.0	310.0	 1
0.0963871464862	31.0	180.0	99.0	310.0	 2
0.0991614220491	31.0	179.0	100.0	310.0	 2
0.103480983576	31.0	178.0	101.0	310.0	 2
0.104015712476	30.0	179.0	101.0	310.0	 1
0.105692931623	29.0	180.0	101.0	310.0	 1
0.116703638998	29.0	179.0	102.0	310.0	 2
0.117275504245	29.0	178.0	103.0	310.0	 2
0.117921577458	28.0	179.0	103.0	310.0	 1
0.123034892741	27.0	180.0	103.0	310.0	 1
0.123472997306	27.0	179.0	104.0	310.0	 2
0.125933065938	27.0	178.0	105.0	310.0	 2
0.127476303507	27.0	177.0	106.0	310.0	 2
0.140237827018	27.0	176.0	107.0	310.0	 2
0.143515517905	26.0	177.0	107.0	310.0	 1
0.147550993723	26.0	176.0	108.0	310.0	 2
0.148170544757	26.0	175.0	109.0	310.0	 2
0.149513086624	25.0	176.0	109.0	310.0	 1
0.152556808783	25.0	175.0	110.0	310.0	 2
0.153004175707	24.0	176.0	110.0	310.0	 1
0.157222329009	23.0	177.0	110.0	310.0	 1
0.160659326063	23.0	176.0	111.0	310.0	 2
0.160974901645	22.0	177.0	111.0	310.0	 1
0.161312067311	22.0	176.0	112.0	310.0	 2
0.166705282354	22.0	175.0	113.0	310.0	 2
0.167099024888	22.0	174.0	114.0	310.0	 2
0.167918216874	21.0	175.0	114.0	310.0	 1
0.169631873031	21.0	174.0	115.0	310.0	 2
0.173921459871	20.0	175.0	115.0	310.0	 1
0.175958612546	20.0	174.0	116.0	310.0	 2
0.176160722141	20.0	173.0	117.0	310.0	 2
0.176729535816	20.0	172.0	118.0	310.0	 2
0.184222881875	20.0	171.0	119.0	310.0	 2
0.184594955409	20.0	170.0	120.0	310.0	 2
0.186919253224	20.0	169.0	121.0	310.0	 2
0.187029035404	20.0	168.0	122.0	310.0	 2
0.187834651609	20.0	167.0	123.0	310.0	 2
0.187915370142	20.0	166.0	124.0	310.0	 2
0.189308994481	19.0	167.0	124.0	310.0	 1
0.195063228565	18.0	168.0	124.0	310.0	 1
0.20197651861	17.0	169.0	124.0	310.0	 1
0.202227817862	16.0	170.0	124.0	310.0	 1
0.214506429961	16.0	169.0	125.0	310.0	 2
0.215124159866	16.0	168.0	126.0	310.0	 2
0.22461834926	16.0	167.0	127.0	310.0	 2
0.234747181788	15.0	168.0	127.0	310.0	 1
0.236728008456	14.0	169.0	127.0	310.0	 1
0.238256966697	13.0	170.0	127.0	310.0	 1
0.241595917784	13.0	169.0	128.0	310.0	 2
0.244596216987	13.0	168.0	129.0	310.0	 2
0.252688541021	13.0	167.0	130.0	310.0	 2
0.253453838227	13.0	166.0	131.0	310.0	 2
0.26259102986	13.0	165.0	132.0	310.0	 2
0.264164639775	13.0	164.0	133.0	310.0	 2
0.26761579027	13.0	163.0	134.0	310.0	 2
0.269694793693	13.0	162.0	135.0	310.0	 2
0.271912067737	13.0	161.0	136.0	310.0	 2
0.273705778486	13.0	160.0	137.0	310.0	 2
0.29352274057	13.0	159.0	138.0	310.0	 2
0.29899063429	13.0	158.0	139.0	310.0	 2
0.302807370258	13.0	157.0	140.0	310.0	 2
0.303568323566	12.0	158.0	140.0	310.0	 1
0.304504508832	12.0	157.0	141.0	310.0	 2
0.307566687978	12.0	156.0	142.0	310.0	 2
0.311829282435	12.0	155.0	143.0	310.0	 2
0.318360581234	12.0	154.0	144.0	310.0	 2
0.318463238711	12.0	153.0	145.0	310.0	 2
0.320419855573	12.0	152.0	146.0	310.0	 2
0.326194891486	12.0	151.0	147.0	310.0	 2
0.32643315095	12.0	150.0	148.0	310.0	 2
0.332370764245	12.0	149.0	149.0	310.0	 2
0.335479595976	12.0	148.0	150.0	310.0	 2
0.337348235462	12.0	147.0	151.0	310.0	 2
0.344908950222	12.0	146.0	152.0	310.0	 2
0.350388753844	12.0	145.0	153.0	310.0	 2
0.355543080748	12.0	144.0	154.0	310.0	 2
0.361814858541	11.0	145.0	154.0	310.0	 1
0.362415896669	11.0	144.0	155.0	310.0	 2
0.370595972374	10.0	145.0	155.0	310.0	 1
0.387059077403	9.0	146.0	155.0	310.0	 1
0.390758902814	9.0	145.0	156.0	310.0	 2
0.411083979875	9.0	144.0	157.0	310.0	 2
0.433589345297	9.0	143.0	158.0	310.0	 2
0.433763974103	9.0	142.0	159.0	310.0	 2
0.446958246857	9.0	141.0	160.0	310.0	 2
0.454545454545	9.0	141.0	160.0	310.0	 0
