# reactions: 2
Time	S	I	R	N	Fired Reaction
0.0	46.0	181.0	83.0	310.0	 0
0.000123314911503	46.0	180.0	84.0	310.0	 2
0.000238021873748	45.0	181.0	84.0	310.0	 1
0.000890941148461	44.0	182.0	84.0	310.0	 1
0.00773479094353	44.0	181.0	85.0	310.0	 2
0.0092089123661	43.0	182.0	85.0	310.0	 1
0.0125831208743	42.0	183.0	85.0	310.0	 1
0.0155584396862	42.0	182.0	86.0	310.0	 2
0.0165638204869	42.0	181.0	87.0	310.0	 2
0.0179445168822	42.0	180.0	88.0	310.0	 2
0.0200782075955	41.0	181.0	88.0	310.0	 1
0.02104271652	41.0	180.0	89.0	310.0	 2
0.0210480280804	40.0	181.0	89.0	310.0	 1
0.0212076938721	40.0	180.0	90.0	310.0	 2
0.0225930954057	40.0	179.0	91.0	310.0	 2
0.0238422111564	40.0	178.0	92.0	310.0	 2
0.0243659505098	39.0	179.0	92.0	310.0	 1
0.0263976671259	39.0	178.0	93.0	310.0	 2
0.027783162245	39.0	177.0	94.0	310.0	 2
0.0303852557034	39.0	176.0	95.0	310.0	 2
0.0339455134998	38.0	177.0	95.0	310.0	 1
0.0381705117839	37.0	178.0	95.0	310.0	 1
0.0468485864121	36.0	179.0	95.0	310.0	 1
0.047186253683	35.0	180.0	95.0	310.0	 1
0.051818966358	34.0	181.0	95.0	310.0	 1
0.0545142259508	34.0	180.0	96.0	310.0	 2
0.0566895887676	33.0	181.0	96.0	310.0	 1
0.057310538706	33.0	180.0	97.0	310.0	 2
0.0621346900943	33.0	179.0	98.0	310.0	 2
0.0651991236262	33.0	178.0	99.0	310.0	 2
0.0696989353074	33.0	177.0	100.0	310.0	 2
0.0718866587291	32.0	178.0	100.0	310.0	 1
0.073366693891	32.0	177.0	101.0	310.0	 2
0.0750645288058	32.0	176.0	102.0	310.0	 2
0.084847161261	31.0	177.0	102.0	310.0	 1
0.086146269582	31.0	176.0	103.0	310.0	 2
0.0873479578123	30.0	177.0	103.0	310.0	 1
0.0877436483465	29.0	178.0	103.0	310.0	 1
0.0886940187545	28.0	179.0	103.0	310.0	 1
0.0900805795628	28.0	178.0	104.0	310.0	 2
0.0955187389369	27.0	179.0	104.0	310.0	 1
0.103878297959	27.0	178.0	105.0	310.0	 2
0.104653967441	27.0	177.0	106.0	310.0	 2
0.107895066797	26.0	178.0	106.0	310.0	 1
