# reactions: 2
Time	S	I	R	N	Fired Reaction
0.0	46.0	181.0	83.0	310.0	 0
0.000899770352729	45.0	182.0	83.0	310.0	 1
0.00183840168082	45.0	181.0	84.0	310.0	 2
0.00198371450172	44.0	182.0	84.0	310.0	 1
0.00249628151328	44.0	181.0	85.0	310.0	 2
0.00615158487968	44.0	180.0	86.0	310.0	 2
0.0070430505568	44.0	179.0	87.0	310.0	 2
0.00831893584009	43.0	180.0	87.0	310.0	 1
0.0103562405731	43.0	179.0	88.0	310.0	 2
0.0103892437861	42.0	180.0	88.0	310.0	 1
0.0150491240785	42.0	179.0	89.0	310.0	 2
0.0180999152524	41.0	180.0	89.0	310.0	 1
0.0190553971231	40.0	181.0	89.0	310.0	 1
0.0247956813434	39.0	182.0	89.0	310.0	 1
0.0326778739134	39.0	181.0	90.0	310.0	 2
0.0384670223981	38.0	182.0	90.0	310.0	 1
0.039313993577	38.0	181.0	91.0	310.0	 2
0.0435210178212	37.0	182.0	91.0	310.0	 1
0.0457145223669	36.0	183.0	91.0	310.0	 1
0.0516198244486	36.0	182.0	92.0	310.0	 2
0.0523332426018	36.0	181.0	93.0	310.0	 2
0.0651075105694	35.0	182.0	93.0	310.0	 1
0.0712778517258	35.0	181.0	94.0	310.0	 2
0.0713912972218	35.0	180.0	95.0	310.0	 2
0.0764773593908	34.0	181.0	95.0	310.0	 1
0.0779126802411	34.0	180.0	96.0	310.0	 2
0.0803819989778	34.0	179.0	97.0	310.0	 2
0.0846771259491	33.0	180.0	97.0	310.0	 1
0.0863212877365	33.0	179.0	98.0	310.0	 2
0.088291968564	33.0	178.0	99.0	310.0	 2
0.0899894568489	33.0	177.0	100.0	310.0	 2
0.094746049164	33.0	176.0	101.0	310.0	 2
0.0958275174401	33.0	175.0	102.0	310.0	 2
0.096138866932	32.0	176.0	102.0	310.0	 1
0.0978007433386	32.0	175.0	103.0	310.0	 2
0.098858476311	31.0	176.0	103.0	310.0	 1
0.0995297842945	31.0	175.0	104.0	310.0	 2
0.100762736635	31.0	174.0	105.0	310.0	 2
0.101643423976	30.0	175.0	105.0	310.0	 1
0.104318144017	29.0	176.0	105.0	310.0	 1
0.106359643358	29.0	175.0	106.0	310.0	 2
0.111617449449	29.0	174.0	107.0	310.0	 2
0.111723008431	28.0	175.0	107.0	310.0	 1
0.112591145014	27.0	176.0	107.0	310.0	 1
0.114388256785	27.0	175.0	108.0	310.0	 2
0.11816944212	26.0	176.0	108.0	310.0	 1
0.125448693834	26.0	175.0	109.0	310.0	 2
0.126624700309	26.0	174.0	110.0	310.0	 2
0.12692847852	26.0	173.0	111.0	310.0	 2
0.128168876347	25.0	174.0	111.0	310.0	 1
0.128468558197	25.0	173.0	112.0	310.0	 2
0.131301957735	25.0	172.0	113.0	310.0	 2
0.141325013989	25.0	171.0	114.0	310.0	 2
0.145330856306	25.0	170.0	115.0	310.0	 2
0.147849095109	25.0	169.0	116.0	310.0	 2
0.152595232084	24.0	170.0	116.0	310.0	 1
0.154067602858	23.0	171.0	116.0	310.0	 1
0.156361925832	23.0	170.0	117.0	310.0	 2
0.158209259498	23.0	169.0	118.0	310.0	 2
0.15888563292	23.0	168.0	119.0	310.0	 2
0.161550292447	23.0	167.0	120.0	310.0	 2
0.163997359652	22.0	168.0	120.0	310.0	 1
0.166581605205	21.0	169.0	120.0	310.0	 1
0.167413049897	21.0	168.0	121.0	310.0	 2
0.174122112905	20.0	169.0	121.0	310.0	 1
0.176855636213	19.0	170.0	121.0	310.0	 1
0.179389807253	19.0	169.0	122.0	310.0	 2
0.19819640778	19.0	168.0	123.0	310.0	 2
0.198477314407	19.0	167.0	124.0	310.0	 2
0.198502485541	19.0	166.0	125.0	310.0	 2
0.203780959713	19.0	165.0	126.0	310.0	 2
0.208344647253	18.0	166.0	126.0	310.0	 1
0.210380071479	18.0	165.0	127.0	310.0	 2
0.217939746963	18.0	164.0	128.0	310.0	 2
0.22140530061	17.0	165.0	128.0	310.0	 1
0.225570586785	16.0	166.0	128.0	310.0	 1
0.233891223799	16.0	165.0	129.0	310.0	 2
0.234502469684	15.0	166.0	129.0	310.0	 1
0.237587191399	15.0	165.0	130.0	310.0	 2
0.237688576579	15.0	164.0	131.0	310.0	 2
0.238720411564	14.0	165.0	131.0	310.0	 1
0.241923374271	13.0	166.0	131.0	310.0	 1
0.243528442129	13.0	165.0	132.0	310.0	 2
0.24527701218	13.0	164.0	133.0	310.0	 2
0.248712072872	13.0	163.0	134.0	310.0	 2
0.256768463472	12.0	164.0	134.0	310.0	 1
0.260151733777	12.0	163.0	135.0	310.0	 2
0.260199260057	11.0	164.0	135.0	310.0	 1
0.262303658171	11.0	163.0	136.0	310.0	 2
0.26440883142	11.0	162.0	137.0	310.0	 2
0.275785288162	10.0	163.0	137.0	310.0	 1
0.276013257541	10.0	162.0	138.0	310.0	 2
0.287995082683	10.0	161.0	139.0	310.0	 2
0.289451412184	10.0	160.0	140.0	310.0	 2
0.30080636357	10.0	159.0	141.0	310.0	 2
0.301585234589	10.0	158.0	142.0	310.0	 2
0.302629387112	9.0	159.0	142.0	310.0	 1
0.303761963397	9.0	158.0	143.0	310.0	 2
0.304708739906	9.0	157.0	144.0	310.0	 2
0.309611902707	9.0	156.0	145.0	310.0	 2
0.31107633435	9.0	155.0	146.0	310.0	 2
0.312007573895	9.0	154.0	147.0	310.0	 2
0.312893557347	9.0	153.0	148.0	310.0	 2
0.315593724434	9.0	152.0	149.0	310.0	 2
0.316847163048	8.0	153.0	149.0	310.0	 1
0.319471907843	8.0	152.0	150.0	310.0	 2
0.330323956956	8.0	151.0	151.0	310.0	 2
0.331485854866	8.0	150.0	152.0	310.0	 2
0.345349796626	8.0	149.0	153.0	310.0	 2
0.345843274699	7.0	150.0	153.0	310.0	 1
0.359692825462	7.0	149.0	154.0	310.0	 2
0.367717931779	7.0	148.0	155.0	310.0	 2
0.380916439536	7.0	147.0	156.0	310.0	 2
0.391708766209	6.0	148.0	156.0	310.0	 1
0.392133672595	5.0	149.0	156.0	310.0	 1
0.393729496611	5.0	148.0	157.0	310.0	 2
0.398018388764	5.0	147.0	158.0	310.0	 2
0.399460445551	5.0	146.0	159.0	310.0	 2
0.400011374384	5.0	145.0	160.0	310.0	 2
0.400154924431	5.0	144.0	161.0	310.0	 2
0.403503108697	5.0	143.0	162.0	310.0	 2
0.40995503571	5.0	142.0	163.0	310.0	 2
0.417248548994	5.0	141.0	164.0	310.0	 2
0.429363104884	5.0	140.0	165.0	310.0	 2
0.435031016739	5.0	139.0	166.0	310.0	 2
0.435607163219	5.0	138.0	167.0	310.0	 2
0.442104795798	5.0	137.0	168.0	310.0	 2
0.450417378551	4.0	138.0	168.0	310.0	 1
0.454545454545	4.0	138.0	168.0	310.0	 0
